Шаг оригинал	Описание	Перевод шага	Перевод описания	
И я жду когда в табличном документе "%1 РеквизитТабличныйДокумент" заполнится ячейка "%2 r4c2" в течение "%3 20" секунд	По таймеру проверяет, что указанная ячейка табличного документа не пустая.	Și eu menționez valoarea câmpului "%1 AtributDocumentTabelar" celula se umple "%2 r4c2" in timp de "%3 20" secunde	După timer verifică faptul că celula indicată a documentului tabelar nu este goală.	
И я закрываю окно "%1 Заголовок окна"	Закрывает окно с нужным заголовком	Și eu închid fereastră "%1 Titlu fereastra"	închide fereastra cu titlul dorit	
И я закрываю текущее окно	Закрывает активное окно	Și eu închid fereastra actuală	Închide fereastra activă	
И я запоминаю значение поля "%1 Заголовок поля" как "%2 ИмяПеременной"	Сохранение значения поля в переменную Контекст	Și eu menționez valoarea câmpului "%1 Titlu Câmp" ca %2 "NumeVariabila"	Salvarea valorii câmpului în constanta Контекст	
И я запоминаю значение поля "%1 Заголовок поля" как "%2 ИмяПеременной" глобально	Сохранение значения поля в переменную КонтекстСохраняемый	Și eu menționez valoarea câmpului "%1 Titlu Câmp" ca "%2 NumeVariabila" global	Salvarea valorii câmpului în constanta КонтекстСохраняемый	
И я запоминаю значение поля "%1 Заголовок поля" с ключом "%2 Номер документа"	Сохранение значения поля в переменную Контекст с произвольным ключом	Și eu mentionez valoarea câmpului "%1 Titlu Câmp" cu cheia "%2 Număr documentului"	Salvarea valorii câmpului în constanta Контекст cu cheia arbitrară	
И я запоминаю значение поля "%1 Заголовок поля" с ключом "%2 Номер документа" глобально	Сохранение значения поля в переменную КонтекстСохраняемый с произвольным ключом	Și eu menționez valoarea câmpului "%1 Titlu Câmp" cu cheia "%2 Număr documentului" global	Salvarea valorii câmpului în constanta КонтекстСохраняемый cu cheia arbitrară	
И я запоминаю значение таблицы "%1 ИмяТаблицы" поля "%2 Заголовок поля" как "%3 ИмяПеременной"	Сохранение значения поля таблицы в переменную Контекст	Și eu menționez valoarea tabel "%1 NumeTabel" câmpului "%2 TitluCâmp" ca "%3 NumeVariabila"	Salvarea valorii câmpului tabelului în constanta Контекст	
И я изменяю флаг "%1 Заголовок флага"	Изменяет текущее состояние флага	Și eu schimb bifa "%1 TitluFlag"	Modifică statutul curent al bifei	
И я изменяю флаг с именем "%1 ИмяФлага"	Изменяет текущее состояние флага	Și eu schimb bifa cu numele "%1 NumeFlag"	Modifică statutul curent al bifei	
И я меняю значение переключателя "%1 Заголовок элемента" на "%2 Значение переключателя"	Меняет значение переключателя (радиобаттона)	Și eu schimb valoarea radiobutonului "%1 Atribut radiobuton" la "%2 Prima valoare"	Modifică valoarea comutatorului (radio button)	
И я меняю значение переключателя с именем "%1 РеквизитПереключатель" на "%2 Значение переключателя"	Меняет значение переключателя (радиобаттона)	Și eu schimb valoarea radiobutonului cu numele "%1 Atributradiobuton" la "%2 Prima valoare"	Modifică valoarea comutatorului (radio button)	
И я нажимаю кнопку выбора у поля "%1 Заголовок поля"	Нажимает на кнопку выбора у поля	Și eu butonez selectarea câmpului "%1 Atribut2"	Tastează butonul de selectare la câmp	
И я нажимаю кнопку очистить у поля "%1 Заголовок поля"	Очищает поле	Și eu butonez golirea câmpului "%1 Selectare"	Golește câmpul	
И я нажимаю кнопку очистить у поля с именем "%1 ИмяПоля"	Очищает поле	Și eu butonez golirea câmpului cu numele "%1 Selectare"	Очищает поле	
И я нажимаю на гиперссылку "%1 Гиперссылка"	Нажатие на гиперссылку.	Și eu butonez pe hyperlink "%1 Hyperlink"	Tastare pe hyperlink.	
И я нажимаю на гиперссылку с именем "%1 Гиперссылка"	Нажатие на гиперссылку.	Și eu butonez pe hyperlink cu numele "%1 Hyperlink"	Tastare pe hyperlink.	
И я открываю выпадающий список "%1 Заголовок списка"	Открывает выпадающий список	Și eu deschid lista derulată "%1 Titlul lista"	Deschide lista drop-down	
И Я открываю форму документа "%1 АвтоВзаимозачет" заполненного на основании не проведенного "%2 ПоступлениеАвтомобилей"	Открытие формы на основании не проведенного документа	Și eu deschid forma documentului "%1 AutoCompensare" completat în baza documentului nevalidat "%2 IntrarareAutomobile"	Deschiderea formei în temeiul documentului ne validat	
И Я открываю форму документа "%1 АвтоВзаимозачет" заполненного на основании проведенного "%2 ПоступлениеАвтомобилей"	Открытие формы на основании проведенного документа	Și eu deschid forma documentului "%1 AutoCompensare" completat în baza validării "%2 IntrarareAutomobile	Deschiderea formei în temeiul documentului validat	
И я очищаю окно сообщений пользователю	Очищает окно сообщений пользователю.	Și eu șterg fereastra cu mesaje pentru utilizator	Golește fereastra mesajelor pentru utilizator.	
И я разворачиваю группу "%1 Заголовок группы"	Разворачивает группу	Și eu derulez grupul "%1 Titlul grupei"	Extinde grupul	
И я разворачиваю группу с именем "%1 ИмяГруппы"	Разворачивает группу	Și eu derulez grupul cu numele "%1 NumeGupa"	Extinde grupul	
И я сворачиваю группу "%1 Заголовок группы"	Сворачивает группу	Și eu minimalizez grupa ”%2 Titlu Grupei”	Reduce grupul	
И я сворачиваю группу с именем "%1 ИмяГруппы"	Сворачивает группу	Și eu închid grupul cu numele "%1 NumeGrup"	Reduce grupul	
И я снимаю флаг "%1 Заголовок флага"	Устанавливает флаг в Ложь	Și eu debifez "%1 TitluFlag"	Setează bifa în Fals	
И я снимаю флаг с именем "%1 ИмяФлага"	Устанавливает флаг в Ложь	Și eu debifez cu numele "%1 NumeFlag"	Setează bifa în Fals	
И Я создаю fixtures по макету "%1 Макет"	Создает данные из макета MXL	Și eu creez fixtures pe sablonul "%1 Sablon"	Creează datele din macheta MXL	
И я устанавливаю флаг "%1 Заголовок флага"	Устанавливает флаг в Истина	Și eu bifez "%1 %2 TitluFlag"	Setează bifa în Adevărat	
И я устанавливаю флаг с именем "%1 ИмяФлага"	Устанавливает флаг в Истина	Și eu bifez cu numele "%1 NumeFlag"	Setează bifa în Adevărat	
"И в таблице ""%1 ИмяТаблицы"" я разворачиваю строку:
| 'ИмяКолонки' || 'ЗначениеКолонки' |"	Развернуть группу строк	"Și în tabelul ""%1 NumeTabel"" eu deschid rândul:
  | Denumire |
  | Marfa1 |"	Extinde grupul de rînduri	
И в таблице "%1 ИмяТаблицы" я разворачиваю текущую строку	Развернуть текущую строку таблицы/дерева	Și în tabelul "%1 NumeTabel" eu desfășor rândul curent	Extinde rîndul curent al tabelului/arborelui	
"И в таблице ""%1 ИмяТаблицы"" я сворачиваю строку:
| 'ИмяКолонки' || 'ЗначениеКолонки' |"	Свернуть группу строк	"Și în tabelul ""%1 NumeTabel"" eu strâng rândul:
  | Denumire |
  | Marfa1 |"	Reduce grupul de rînduri	
И в таблице "%1 ИмяТаблицы" я сворачиваю текущую строку	Свернуть текущую строку таблицы/дерева	Și în tabelul "%1 NumeTabel" eu închid rândul curent	Reduce rîndul curent al tabelului/arborelui	
И я закрыл все окна клиентского приложения	Закрывает все окна текущего TestClient.	Și eu am închis toate ferestre aplicației Clientului	închide toate ferestrele TestClient-ului curent.	
И я закрыл все окна клиентского приложения кроме "%1 Нужное окно"	Закрывает все окна текущего TestClient, кроме нужного окна.	Și eu am închis toate ferestre aplicației Clientului înafară de "%1 Fereastra necesară"	Închide toate ferestrele TestClient-ului curent, cu excepția ferestrei dorite.	
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку выбора у реквизита "%2 Заголовок колонки"	Нажатие кнопки выбора у реквизита в таблице	Și în tabelul "%1 DocumentePeTipuri" eu butonez butonul de alegere la atributul "%2 Scan"	Tastarea butonului de selectare la atribut în ST	
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку выбора у реквизита с именем "%2 ИмяКолонки"	Нажатие кнопки выбора у реквизита в таблице	Și în tabelul "%1 NumeTabel" eu butonez butonul de alegere la atributul cu numele "%2 NumeColoana"	Tastarea butonului de selectare la atribut în ST	
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку очистить у поля "%2 Заголовок колонки"	Нажатие кнопки очистить у поля в таблице	TitluColoanei	Tastarea butonului de golire la cîmp în ST	
И В таблице "%1 ИмяТаблицы" я нажимаю кнопку очистить у поля с именем "%2 ИмяКолонки"	Нажатие кнопки очистить у поля в таблице	Și în tabelul "%1 DocumentePeTipuri" eu butonez butonul ștergeți în câmpul cu numele "%2 Scan"	Tastarea butonului de golire la cîmp în ST	
И В таблице "%1 ИмяТаблицы" из выпадающего списка "%2 Заголовок поля" я выбираю "%3 ЗначениеПоля" с выбором	Выбор из выпадающего списка в ТЧ с дополнительным вызовом метода Выбрать(). Применялось на 8.3.6.	Și în tabelul "%1 Partea tabelară1" din lista derulată "%2 Atribut catalog" eu selectez "%3 ТestElement21" cu selectare	Selectarea din lista drop-down în ST cu solicitarea suplimentară a metodei Selectare(). A fost aplicată în 8.3.6.	
И выражение внутреннего языка '%1 Выражение' Истинно	Позволяет проверить произвольное выражение встроенного языка.	Și expresie a limbii interioare "%1 Context.CantitateFinala - Context.CantitateInitiala = 1" Adevăr	Vă permite să verificați expresia arbitrară a limbajului incorporat	
И для каждой строки таблицы "%1 ИмяТаблицы" я выполняю	Цикл. Выполняет шаги для каждой строки таблицы	Și pentru fiecare rând a tabelului "%1 Partea tabelară1" eu execut	Ciclul. Execută pașii pentru fiecare rând din tabel	
И Пока в таблице "%1 ИмяТаблицы" количество строк "%2 >" "%3 0" Тогда	Цикл. Выполняет шаги до тех пор, пока в таблице есть строки	Și până când în tabelul "%1 Partea tabelară1" numărul de rânduri "%2 >" 0 Atunci	Ciclul. Execută pașii până când în tabel există rânduri	
И Пока выражение встроенного языка "%1 Контекст.СлужебнаяПеременная < 2" истинно тогда	Цикл. Выполняет шаги пока истинно условие	Și până când limba interioara "%1 Context.VariabiladeServiciu < 2" adevar Atunci	Ciclul. Execută pașii până când este adevărată condiția	
И поле "%1 Заголовок поля" заполнено	Проверяет заполненность поля формы	Și câmpul "%1 Nume Câmpului" completat	Verifică completarea câmpului formei	
И табличный документ "%1 РеквизитТабличныйДокумент" соответствует макету "%2 ИмяМакета"	Сравнивает значения макета с эталоном. Макеьт ищется сначала в обработке фича файла, затем в каталоге проекта.	Și Documentul Tabelar "%1 AtributDocumentTabelar" corespunde șablonului "%2 NumeȘablon"	Compară valorile machetei cu etalonul. Macheta este căutată mai întâi în procesarea  feature a fișierului, apoi în catalogul proiectului.	
И у элемента "%1 Заголовок элемента" я жду значения "%2 Значение"	Ожидание что элемент формы примет нужное значение (таймаут 10)	Și la elementul "%1 Numele elementului" eu aștept semnificația "%2 Semnificația"	Așteptarea că elementul formei va obține valoarea dorită (timeout 10)	
И у элемента "%1 Заголовок элемента" я жду значения "%2 Значение" в течении "%3 20" секунд	Ожидание что элемент формы примет нужное значение в течении нужного времени. Иначе будет вызвано исключение.	Și la elementul "%1 Numele elementului" eu aștept semnificația "%2 Semnificația" în decurs de 20 secunde	Așteptarea că elementul formei va obține valoarea dorită pe parcursul timpului dorit. În alt caz va fi solicitată excepția.	
И у элемента с именем "%1 ИмяЭлемента" я жду значения "%2 Значение"	Ожидание что элемент формы примет нужное значение (таймаут 10)	Și la elementul cu numele "%1 Numele elementului" eu aștept semnificația "%2 Semnificația"	Așteptarea că elementul formei va obține valoarea dorită (timeout 10)	
И у элемента с именем "%1 ИмяЭлемента" я жду значения "%2 Значение" в течении "%3 20" секунд	Ожидание что элемент формы примет нужное значение в течении нужного времени. Иначе будет вызвано исключение.	Și la elementul cu numele "%1 Numele elementului" eu aștept semnificația "%2 Semnificația" în decurs de 20 secunde	Așteptarea că elementul formei va obține valoarea dorită pe parcursul timpului dorit. În alt caz va fi solicitată excepția.	
И элемент "%1 Имя элемента" доступен для просмотра	Проверка отсутствия флага "Только просмотр"	Și element "%1 Numele elementului" este accesibil pentru vizionare	Verificarea lipsei bifei "Doar vizualizare"	
И элемент "%1 Заголовок поля" доступен не только для просмотра	Проверка флага "Только просмотр"	Și elementul "%1 Titlu câmp" este accesibil nu doar pentru vizionare	Verificarea bifei setate "Doar vizualizare"	
И элемент с именем "%1 Имя элемента" доступен для просмотра	Проверка отсутствия флага "Только просмотр"	Și elementul cu numele "%1 Numele elementului" este accesibil pentru vizionare	Verificarea lipsei bifei "Doar vizualizare"	
И элемент с именем "%1 ИмяПоля" доступен не только для просмотра	Проверка флага "Только просмотр"	Și elementul cu numele "%1 NumeCâmp" este accesibil nu doar pentru vizionare	Verificarea bifei setate "Doar vizualizare"	
И я активизирую TestClient "%1 ИмяПрофиляTestClient"	Позволяет переключить контекст на нужный TestClient. Поиск TestClient в таблице подключений просиходит по имени или синониму.	Și eu activez TestClient "%1 NumeProfilTestClient"	Vă permite să comutați contextul la TestClient-ul dorit	
И я активизирую окно "%1 Заголовок окна"	Активизирует окно с нужным заголовком	Și eu activez fereastră "%1 Titlu fereastra"	Activează câmpul cu titlul dorit	
И я активизирую поле "%1 Заголовок поля"	Сделать поле активным	Și eu activez câmpul "%1 Nume Câmp"	Activare cîmpul	
И я активизирую поле с именем "%1 ИмяПоля"	Сделать поле активным	Și eu activez câmpul cu numele "%1 NumeCâmp"	Activare cîmpul	
И я вижу элемент "%1 Заголовок элемента"	Проверяет видимость элемента на форме	Și eu văd elementul "%1 Titlu elementului"	Verifică vizibilitatea elementului pe formă	
И я вижу элемент "%1 Заголовок элемента" на форме	Проверяет видимость элемента на форме	Și eu văd elementul "%1 Titlu elementului" pe formă	Verifică vizibilitatea elementului pe formă	
И я вижу элемент с именем "%1 ИмяЭлемента"	Проверяет видимость элемента на форме	Și eu văd elementul cu numele "%1 NumeElement"	Verifică vizibilitatea elementului pe formă	
И я вижу элемент с именем "%1 ИмяЭлемента" на форме	Проверяет видимость элемента на форме	Și Eu văd elementul cu numele "%1 NumeElement" pe formă	Verifică vizibilitatea elementului pe formă	
И я жду закрытия окна "%1 Заголовок окна" в течении "%2 20" секунд	Ожидает, что окно исчезнет через нужное число секунд	Și Eu aștept pe închiderea ferestrei "%1 Titlu ferestrei" în decusr de ”%2 20” secunde	Așteaptă ca fereastra să dispară peste numărul de secunde dorit	
И я жду появления элемента "%1 Заголовок элемента"	Ожидание появления элемента формы с нужным заголовком	Și Eu aștept apariția elementului "%1 Titlu elementului"	Așteptarea apariției elementului formei cu titlul dorit	
И я жду появления элемента "%1 Заголовок элемента" в течении "%2 20" секунд	Ожидание появления элемента формы с нужным заголовком в течении указанного числа секунд	Și Eu aștept apariția elementului "%1 Titlu elementului" în decurs de "%2 20" secunde	Așteptarea apariției elementului formei cu titlul dorit pe parcursul numărului indicat de secunde	
И я жду появления элемента с именем "%1 ИмяЭлемента"	Ожидание появления элемента формы с нужным именем	Și Eu aștept apariția elementului cu numele "%1 NumeElement"	Așteptarea apariției elementului formei cu numele dorit	
И я жду появления элемента с именем "%1 ИмяЭлемента" в течении "%2 20" секунд	Ожидание появления элемента формы с нужным именем в течении указанного числа секунд	Și Eu aștept apariția elementului cu numele "%1 NumeElement" în decurs de "%2 20" secunde	Așteptarea apariției elementului formei cu numele dorit pe parcursul numărului indicat de secunde	
И я завершаю редактирование строки	Завершение редактирования строки текущей таблицы.	Și Eu termin redactarea rândului	Finalizarea editării rândului	
И я закрываю TestClient "%1 ИмяПрофиляTestClient"	Закрывает указанный TestClient Перед этим закрывает все окна в нём.	Și Eu închid TestClient "%1 NumeProfilTestClient"	închide TestClientul indicat Preventiv închide toate ferestrele în el.	
И я закрываю окно предупреждения	Закрывает окно предупреждения если оно есть	Și Eu închid fereastră înștiințărilor	Închide fereastra avertismentului, dacă există	
И я закрываю сеанс TESTCLIENT	Закрывает активный сеанс TestClient, если он есть. При этом происходит попытка закрыть моадльные диалоги, если они появляются.	Și Eu închid sensul TESTCLIENT	închide sesiunea TestClient	
И Я запоминаю значение выражения '%1 ВыражениеВстроенногоЯзыка' в переменную "%2 ИмяПеременной"	Позволяет сохранить в переменную Контекст произвольное выражение встроенного языка	Și Eu menționez valoarea expresiei "%1 ExpresiaLimbiiImplicite" în variabilă "%2 NumeVariabila"	Vă permite să salvați în variabila Контекст expresia arbitrară a limbajului incorporat	
И Я запоминаю значение выражения '%1 ВыражениеВстроенногоЯзыка' в переменную "%2 ИмяПеременной" глобально	Позволяет сохранить в переменную КонтекстСохраняемый произвольное выражение встроенного языка	Și Eu menționez valoarea expresiei "%1 ExpresiaLimbiiImplicite" în variabilă "%2 NumeVariabila" global	Vă permite să salvați în variabila КонтекстСохраняемый expresia arbitrară a limbajului incorporat	
И я запоминаю текущее окно как "%1 НужныйМнеЗаголовокОкна"	Сохранение значения заголовка текущего окна в переменную Контекст	Și Eu menționez actuală fereastră ca "%1 NecesaraMieTitluFerestrei"	Salvarea valorii titlului ferestrei curente în  variabila Context	
И я не вижу элемент "%1 Заголовок элемента"	Проверяет не видимость элемента на форме	Și Eu nu văd elementul "%1 Titlu element"	Verifică invizibilitatea elementului pe formă	
И я не вижу элемент "%1 Заголовок элемента" на форме	Проверяет не видимость элемента на форме	Și Eu nu văd elementul "%1 Titlu element" pe formă	Verifică invizibilitatea elementului pe formă	
И я не вижу элемент с именем "%1 ИмяЭлемента"	Проверяет не видимость элемента на форме	Și Eu nu văd elementul cu numele "%1 Titlu element"	Verifică invizibilitatea elementului pe formă	
И я не вижу элемент с именем "%1 ИмяЭлемента" на форме	Проверяет не видимость элемента на форме	Și Eu nu văd elementul cu numele "%1 Titlu element" pe formă	Verifică invizibilitatea elementului pe formă	
И Я очищаю фильтр на форме списка	Позволяет сбросить фильтр на список через меню "Ещё/Настроить список"	Și Eu curat filtrul pe forma listei	Vă permite să resetați filtrul pentru listă prin meniul "Mai multe/Setare lista"	
И я подключаю TestClient "%1 ИмяКлиента" логин "%2 Логин" пароль "%3 Пароль"	Позволяет подключить TestClient с нужным логином и паролем в тойже базе, в которой запущен TestManager	Și Eu conectez TestClient "%1 NumeClient" login "%2 login" parola "%3 parola"	Vă permite să conectați TestClient cu loghinul și parola dorite în aceiași bază, în care este lansat TestManager	
И Я подключаю клиент тестирования "%1 ИмяПрофиляTestClient" из таблицы клиентов тестирования		Și Eu conectez clientul testării "%1 NumeProfilClientTestare" din tabelul clienților testării		
И я подключаю профиль TestClient "%1 ИмяПрофиляTestClient"	Позволяет подключить TestClient по имени уже существующего профиля	Și Eu conectez profilul TestClient "%1 NumeProfilClientTestare"	Vă permite să conectați TestClient după numele profilului deja existent	
И я удаляю все строки таблицы "%1 ИмяТаблицы"	Очистить таблицу	Și Eu șterg toate rândurile tabelului "%1 NumeTabel"	Golire tabelul	
И Я устанавливаю фильтр на список       | Наименование | Содержит | Товар1 |	Позволяет установить фильтр на список через меню "Ещё/Настроить список"	"Și Eu stabilesc filtru la listă
   | Denumire | Contine | Marfa1 |"	Vă permite să instalați filtrul pentru listă prin meniul "Mai multe/Setare lista"	
И Я устанавливаю фильтр на список если это возможно       | Наименование | Содержит | Товар1 |	Позволяет установить фильтр на список через меню "Ещё/Настроить список". Причём если такого поля нет, то исключение вызываться не будет.	"Și Eu stabilesc filtru la listă dacă este posibil
   | Denumire | Contine | Marfa1 |"	Vă permite să instalați filtrul pentru listă prin meniul "Mai multe/Setare lista". Totodată, dacă acest câmp lipsește, excepția nu va fi solicitată.	
Когда в логе сообщений TestClient есть строка "%1 Нужное сообщение пользователю"	Проверяет в логе сообщений наличие нужной строки.	Când în locurile de mesaje TestClient există rândul "%1 Mesajul potrivit utilizatorului"	Verifică în logul mesajelor prezența rândului dorit.	
Когда В панели открытых я выбираю "%1 ИмяКоманды"	Нажатие кнопки на панели открытых окон	Când în panoul deschise eu selectez "%1 NumeComanda"	Tastarea butonului pe panoul ferestrelor deschise	
Когда Проверяю шаги на Исключение:|'И     в поле с именем "Наименование2" я ввожу текст "Тестовый Элемент"'|	Проверка негативного поведения шага. Т.е. проверяемый шаг/шаги должны вызвать исключние.	"Când Verific etapele de excludere:
  |'Și în câmpul cu numele ""%1 Denumire"" eu introduc text ""%2 Test Element""|"	Verificarea comportamentului negativ al pasului.	
Когда Я открываю форму документа "%1 АвтоВзаимозачет" заполненного на основании не проведенного "%2 ПоступлениеАвтомобилей" номер "%3 АВ00000080" от "%4 04.09.2016"	Открытие формы на основании не проведенного документа	Când eu deschid forma documentului "%1 AutoCompensare" completat în baza documentului nevalidat "%2 IntrarareAutomobile" numărul "%3 АВ00000080" din "%4 04.09.2016"	Deschiderea formei în temeiul documentului validat	
Когда Я открываю форму документа "%1 АвтоВзаимозачет" заполненного на основании проведенного "%2 ПоступлениеАвтомобилей" номер "%3 АИ00000002" от "%4 12.03.2017"	Открытие формы на основании проведенного документа	Când eu deschid forma documentului "%1 AutoCompensare" completat în baza validării "%2 IntrarareAutomobile" numărul "%3 AI00000002" din "%4 12.03.2017"	Deschiderea formei în temeiul documentului validat	
Когда Я подключаю клиент тестирования "%1 ИмяКлиентаТестирования" из таблицы клиентов тестирования от имени "%2 Логин" с паролем "%3 Пароль"		Când eu conectez clientul testării "%1 NumeClientTestare" din tabelul clienților testării în numele "%2 Login" cu parola "%3 Parola"		
"Когда Я подключаю клиент тестирования с параметрами:
    | 'Имя подключения' | 'Синоним'        | 'Порт' | 'Строка соединения'                     | 'Логин' | 'Пароль' | 'Запускаемая обработка' |  'Дополнительные параметры строки запуска'  |
    | 'ИмяПрофиля'      | 'СинонимПрофиля' | '1538' | 'Srvr=""localhost:1941"";Ref=""Test"";' | 'Админ' | 'Админ'  | 'c:\СуперОбработка.epf' |  '/UC'                                      |"	Подключает TestClient. Все параметры подключения указываются в таблице. Запускает новый сеанс, если не найден запущенный ранее.	"Când eu conectez clientul testării cu parametrii:
 | 'Nume conectare | 'Port' | Rândul de Legatură' | 'Login' | 'Parola' | 'Procesarea pornită' | 'Parametri suplimentari ai rândului de pornire' 
 | 'Test 1' | '1538' | 'Srvr=""localhost:1941"";Ref=""Test"";' | 'Admin' | 'Admin' | 'c:\superProcesare.epf' | '/UC' |"	Conectează TestClient. Toți parametrii de conectare se indică în tabel.	
Тогда в таблице "%1 ИмяТаблицы" я выделяю все строки	Выделение всех строк в таблице	Atunci în tabelul "%1 NumeTabel" eu înserez toate rândurile	Selectarea tuturor rîndurilor în tabel	
Тогда в таблице "%1 ИмяТаблицы" количество строк "%2 меньше или равно" "%3 2"	Проверка на количество строк в таблице	Atunci în tabelul "%1 NumeTabel" numărul de rânduri este "%2 mai mic sau egal" 2	Verificarea numărului de rânduri în tabel	
Тогда не появилось окно предупреждения системы	Проверяет, что на экране нет предупреждения системы.	Atunci nu a apărut fereastră de atenționare a sistemului	Verifică ca pe ecran să nu existe avertismente ale sistemului.	
Тогда появилось предупреждение, содержащее текст "%1 Текст"	Проверяет, что появилось окно предупреждения, содержащее нужный текст.	Atunci a apărut atenționarea ce conține text "%1 Text"	Verifică dacă a apărut fereastra avertismentului cu textul dorit.	
Тогда текст текущей ячейки таблицы "%1 Таблица" стал равен "%2 Значение поля"	Проверка значения текущей ячейки таблицы.	Atunci textul celulei actuale din tabelul "%1 Tabel" a devenit egal cu "%2 Valoare câmp"	Verificarea valorii celulei curente a tabelului.	
Тогда текст ячейки таблицы "%1 Таблица" "%2 ИмяПоля" стал равен "%3 Значение поля"	Проверка значения ячейки таблицы. Имя ячейки указывается как оно указано в конфигураторе.	Atunci textul celulei din Tabelul "%1 Tabel" "%2 NumeCâmp" a devenit egal cu "%3 Valoare câmp"	Verificarea valorii celulei tabelului. Numele celulei se indică așa cum este indicat în designer.	
Тогда элемент формы "%1 Заголовок поля" стал равен "%2 Значение поля"	Проверка значения элемента формы	Atunci elementul formei "%1 Titlu câmp" a devenit egal cu "%2 Valoare Câmp"	Verificarea valorii elementului formei	
Тогда элемент формы с именем "%1 ИмяПоля" стал равен "%2 Значение поля"	Проверка значения элемента формы	Atunci elementul formei cu numele "%1 NumeCâmp" a devenit egal cu "%2 Valoare câmp"	Verificarea valorii elementului formei	
Тогда я вызываю исключение "%1 Текст исключения"	Вызывает исключение с нужным текстом	Atunci eu chem excluderea "%1 Textul excluderei"	Solicită excepția cu textul necesar	
"Дано Я задаю таблицу строк ""%1 ТаблицаИсключений""
| 'Товар1' |
| 'Товар2' |"	Создает в памяти таблицу строк по переданной таблице	"Este dat Eu specific tabelul rândurilor ""%1 TextulExcluderei""
| 'Marfă1' |
| 'Marfă2' |"	Creează în memorie tabelul rândurilor conform tabelului transmis	
Дано Я сохраняю макет из обработки "%1 ИмяМакетаВОбработке" в файл "%2 ИмяФайла"	Сохраняет макет из обработки, связанной с фичей, в нужный файл.	Este dat Eu salvez macheta din procesarea "%1 NumeleȘablonuluiÎnProcesare" în fișierul "%2 NumeFișier"	Salvează macheta din procesare legată de feature în fișierul dorit.	
Если переменная "%1 ИмяПеременной" имеет значение "%2 ЗначениеПеременной" Тогда	Условие. Проверяет значение переменной контекста	Dacă variabila "%1 NumeVariabilei" are valoarea "%2 ValoareVariabila" Atunci	Condiția. Verifică valoarea variabilei contextului	
И в поле "%1 Заголовок поля" я ввожу текст из макета "%2 ИмяМакета"	Вводит текст в поле. Текст будет взят из макета. Также вводит текст в форматированный документ и поле HTML документа.	Și în câmpul "%1 Titlul câmpului" eu introduc textul din macheta "%2 NumeȘablon"	Introduce textul în câmp. Textul va fi luat din machetă	
И в таблице "%1 ИмяТаблицы" я перехожу к строке содержащей подстроки|'ИмяКолонки'||'ЗначениеКолонки'|	Переход к строке таблицы, когда значения колонок заданы не полностью, а подстрокой	"Și în tabelul ""%1 NumeTabel"" eu trec la rândul care conține subrândurile
 |'NumeColoana'|
 |'ValoareColoana'|"	Salt la rîndul de tabel, atunci Când valorile coloanelor nu sunt integrale, ci în subrînd	
И в табличном документе "%1 РеквизитТабличныйДокумент" значения в колонке "%2 ИмяКолонки" неравно значению "%3 "	Проверяет, что в табличном документе значение в колонке равно переданному параметру	Și în documentul tabelar "%1 AtributDocumentTabelar" valorile în coloana "%2 NumeColoana" nu sunt egale cu valoarea "%3 "	Varifică faptul că în documentul tabelar valoarea în coloană este egală cu parametrul transmis	
И в табличном документе "%1 РеквизитТабличныйДокумент" значения в колонке "%2 ИмяКолонки" равно значению "%3 "	Проверяет, что в табличном документе значение в колонке равно переданному параметру	Și în documentul tabelar "%1 AtributDocumentTabelar" valorile în coloana "%2 NumeColoana" sunt egale cu valoarea "%3 "	Verifică faptul că în documentul tabelar valoarea în coloană este egală cu parametrul transmis	
И в табличном документе "%1 РеквизитТабличныйДокумент" значения в колонке "%2 ИмяКолонки" соответствуют условию "%3 равно" "%4 10"	Проверяет, что в табличном документе значение в колонке соответствует условию. Можно использовать числа.	Și în documentul tabelar "%1 AtributDocumentTabelar" valorile în coloana "%2 NumeColoana" corespund condiției "%3 egal" "%4 10"	Verifică faptul că în documentul tabelar valoarea în coloană corespunde condiției. Puteți utiliza cifre.	
И В текущем окне я нажимаю кнопку командного интерфейса "%1 КомандаИнтерфейса"	Нажатие кнопки командного интерфейса в текущей форме	Si în fereastra curentă eu tastez butonul interfeței de comenzi "%1 ComandaInterfeței"	Tastarea butonului interfeței de comenzi în forma curentă	
И для каждого значения "%1 ЗначениеИзМассива" из массива "%2 МассивЗначенийЧерезТочкуСЗапятой"	Перебирает массив значений. Первый параметр - это имя переменной, которое будет доступно в Контексте. Второй параметр, значения массива, разделенные символом ";"	Și pentru fiecare valoare "%1 ValoareaDinMulțime" din masivul "%2 MulțimeaValorilorPrinPunctȘiVirgulă"	Iterează masivul valorilor. Primul parametru este numele variabilei, care va fi accesibil în Context. Al doilea parametru sunt valorile masivului despărțite prin simbolul ";"	
